datetime,open,high,low,close,volume,변동 %
2017-12-07 0:00,2500.00,2500.00,2500.00,2500.00,-,0
2017-12-08 0:00,15420.00,15420.00,15420.00,15420.00,-,5.168
2017-12-09 0:00,16790.00,16790.00,16790.00,16790.00,-,0.0888
2017-12-10 0:00,17280.00,17280.00,17280.00,17280.00,-,0.0292
2017-12-11 0:00,17590.00,17590.00,17590.00,17590.00,-,0.0179
2017-12-12 0:00,16870.00,16870.00,16870.00,16870.00,-,-0.0409
2017-12-13 0:00,18100.00,18100.00,18100.00,18100.00,-,0.0729
2017-12-14 0:00,20650.00,20650.00,19315.00,19595.00,-,0.0826
2017-12-15 0:00,20650.00,20650.00,18345.00,19100.00,1.05K,-0.0253
2017-12-16 0:00,19135.00,19725.00,17180.00,18200.00,0.56K,-0.0471
2017-12-17 0:00,17745.00,18350.00,16435.00,17040.00,0.78K,-0.0637
2017-12-18 0:00,16400.00,17270.00,15080.00,15330.00,0.88K,-0.1004
2017-12-19 0:00,15595.00,15825.00,12265.00,14135.00,2.37K,-0.078
2017-12-20 0:00,13900.00,13900.00,13730.00,13760.00,-,-0.0265
2017-12-21 0:00,13900.00,16100.00,13700.00,15785.00,0.41K,0.1472
2017-12-22 0:00,15655.00,16545.00,14460.00,14690.00,0.51K,-0.0694
2017-12-23 0:00,15150.00,15280.00,13360.00,13745.00,0.75K,-0.0643
2017-12-24 0:00,13965.00,15005.00,13835.00,14470.00,1.08K,0.0527
2017-12-25 0:00,13955.00,13955.00,13490.00,13530.00,-,-0.065
2017-12-26 0:00,13955.00,15245.00,13080.00,14855.00,0.73K,0.0979
2017-12-27 0:00,14900.00,15450.00,14650.00,14975.00,0.72K,0.0081
2017-12-28 0:00,14925.00,15470.00,14205.00,14900.00,0.76K,-0.005
2017-12-29 0:00,15085.00,16845.00,14870.00,16590.00,0.81K,0.1134
2017-12-30 0:00,16425.00,16455.00,16215.00,16240.00,-,-0.0211
2017-12-31 0:00,16425.00,16455.00,13870.00,14905.00,0.96K,-0.0822
2018-01-01 0:00,14675.00,15365.00,14185.00,14750.00,0.86K,-0.0104
2018-01-02 0:00,14405.00,14720.00,13480.00,14450.00,0.89K,-0.0203
2018-01-03 0:00,14500.00,14910.00,12820.00,13385.00,1.30K,-0.0737
2018-01-04 0:00,13000.00,14080.00,12850.00,13945.00,0.79K,0.0418
2018-01-05 0:00,13600.00,13700.00,13600.00,13660.00,-,-0.0204
2018-01-06 0:00,13660.00,14280.00,13360.00,13490.00,-,-0.0124
2018-01-07 0:00,13600.00,14280.00,11160.00,11160.00,2.55K,-0.1727
2018-01-08 0:00,11190.00,11800.00,9225.00,10945.00,2.66K,-0.0193
2018-01-09 0:00,11125.00,12075.00,10645.00,11815.00,1.71K,0.0795
2018-01-10 0:00,11335.00,12030.00,10990.00,11360.00,0.98K,-0.0385
2018-01-11 0:00,11370.00,11480.00,11370.00,11395.00,-,0.0031
2018-01-12 0:00,11300.00,11830.00,9955.00,10355.00,1.14K,-0.0913
2018-01-13 0:00,10625.00,11350.00,9865.00,11095.00,1.24K,0.0715
2018-01-14 0:00,10790.00,11455.00,10435.00,11115.00,0.84K,0.0018
2018-01-15 0:00,11090.00,11710.00,10830.00,11245.00,0.77K,0.0117
2018-01-16 0:00,11105.00,11620.00,10250.00,10875.00,-,-0.0329
2018-01-17 0:00,11510.00,11725.00,11510.00,11715.00,-,0.0772
2018-01-18 0:00,11510.00,11775.00,10970.00,11170.00,0.46K,-0.0465
2018-01-19 0:00,11120.00,11245.00,9720.00,9940.00,1.14K,-0.1101
2018-01-20 0:00,10000.00,10275.00,9500.00,10000.00,0.84K,0.006
2018-01-21 0:00,10020.00,10175.00,8480.00,9090.00,1.49K,-0.091
2018-01-22 0:00,8890.00,9075.00,7750.00,8585.00,2.54K,-0.0556
2018-01-23 0:00,8590.00,8590.00,8140.00,8140.00,-,-0.0518
2018-01-24 0:00,8305.00,8315.00,6870.00,7260.00,2.19K,-0.1081
2018-01-25 0:00,6850.00,7920.00,5970.00,7550.00,2.23K,0.0399
2018-01-26 0:00,7620.00,8540.00,7235.00,8245.00,1.38K,0.0921
2018-01-27 0:00,7790.00,8690.00,7645.00,8325.00,0.91K,0.0097
2018-01-28 0:00,8165.00,8770.00,7715.00,8610.00,0.76K,0.0342
2018-01-29 0:00,8380.00,8380.00,8075.00,8100.00,-,-0.0592
2018-01-30 0:00,8380.00,8920.00,8075.00,8860.00,0.68K,0.0938
